"","...1","sample","type","score.meth","score.delfi","score.meth_reg","ens_preds"
"39",13,"PGDX18271P","healthy",0.00297486822883782,0.0921720880677974,0.0472827813984939,0.0416605647275367
"40",14,"PGDX18285P","healthy",0.00252634275211289,0.265359404336366,0.0286379212005606,0.0696837761338408
"41",15,"PGDX18288P","healthy",0.00137909335008042,0.550207918343995,0.0395567942075306,0.177337148799893
"42",16,"PGDX18330P","healthy",0.02297071726644,0.068315265632354,0.107362246938244,0.0480481571792493
"43",17,"PGDX18335P","healthy",0.0765540544760847,0.0642746990241467,0.241710473686614,0.0775034673216676
"44",18,"PGDX18336P","healthy",0.0797321107189217,0.11697156951944,0.0286551510077259,0.0422910052016829
"45",19,"PGDX18338P","healthy",0.00430539660930022,0.20192329572365,0.100190435631145,0.0732070825529276
"46",20,"PGDX18418P","healthy",0.0306262510144503,0.219433033468622,0.0546615040411894,0.0657653700644124
"47",21,"PGDX18428P","healthy",0.00343032036487131,0.0864623273198823,0.0345748913740982,0.0389577260539703
"48",22,"PGDX18441P","healthy",0.215480993548861,0.206002190587264,0.213227379700646,0.11075205479402
"49",23,"PGDX18447P","healthy",0.00351410117558028,0.10793242874511,0.0557638776453871,0.0453713388696587
"50",24,"PGDX18454P","healthy",0.0153482398470464,0.0905746835898062,0.0535612914607107,0.0424175023216209
"51",25,"PGDX18456P","healthy",0.0029105258912494,0.0853259485304916,0.0286551510077259,0.0379544636814755
"52",26,"PGDX18689P","healthy",0.00295620767955237,0.349325690812062,0.0335073682362148,0.0933396489747577
"53",27,"PGDX8256P","cancer",0.270797094089911,0.627561440450342,0.0828393845679235,0.251579730198576
"54",1,"PGDX16587P","healthy",0.195932682197878,0.386139585545467,0.0402419211366553,0.106367531850294
"55",2,"PGDX16604P","cancer",0.792712205669023,0.354064823521065,0.802734193571905,0.659207164969455
"56",3,"PGDX17726P","cancer",0.0754159639616974,0.469550779732687,0.106770530266578,0.16754794177781
"57",4,"PGDX17732P","cancer",0.322021266794227,0.768067801554222,0.305040124314373,0.531386978417291
"58",5,"PGDX17734P","cancer",0.9145202183047,0.97858774411225,0.941749559639875,0.961955699305031
"59",6,"PGDX17754P","cancer",0.385056494031473,0.492497071783667,0.267878068305853,0.285618419612422
"60",7,"PGDX17942P","healthy",0.0665822338701869,0.121111552189092,0.0460636416447047,0.0486472930240035
"61",8,"PGDX17943P","healthy",0.082031590575019,0.14524888280745,0.485899632041336,0.226973049327223
"62",9,"PGDX17952P","healthy",0.0239179854511211,0.377506630671141,0.105568966428071,0.12911929812684
"63",10,"PGDX17956P","healthy",0.0442285581710879,0.729988544151665,0.0341472417586982,0.263726461834324
"64",11,"PGDX18263P","healthy",0.336559758983944,0.178079580684963,0.0906478938414936,0.0680037363396307
"65",12,"PGDX18264P","healthy",0.104239542701476,0.175768936204923,0.0799900204786578,0.0650240542559465
"66",13,"PGDX18275P","healthy",0.0789600501987792,0.401184837645193,0.118006064763089,0.1437950759178
"67",14,"PGDX18342P","healthy",0.0282228090177914,0.0938542862026986,0.049208469697025,0.0451949046937618
"68",15,"PGDX18421P","healthy",0.0405076728766252,0.00771265260113119,0.0602457418614972,0.0359006476639435
"69",16,"PGDX18425P","healthy",0.0282228090177914,0.0168804505717888,0.0652457790722768,0.0376343556084558
"70",17,"PGDX18436P","healthy",0.0474111333253158,0.629288444443645,0.0789670002838724,0.233965899288053
"71",18,"PGDX18437P","healthy",0.0618073085975022,0.102613600276827,0.0572985476589286,0.0478262499536494
"72",19,"PGDX18440P","healthy",0.368506933498455,0.393063002800469,0.900078493725025,0.760729955816791
"73",20,"PGDX18445P","healthy",0.0428990261822756,0.0624750194926502,0.0552519084033407,0.04187684534418
